data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2021-08-31,2021,8,Claritas Investimentos,115236.742889854,22405.2151128369,5.1433,2021-08-31,30.94,3724523.04104248,3694536.33191226,29986.7091302227,-30187.7370942052,114308.954109365,927.78878048909,-934.008585694709,9,4698410.69,17,0.0245267496805083,3740.44810763866,635.398106000095,44777.3386591245
2021-09-30,2021,9,Claritas Investimentos,46957.7302039048,8632.88785599603,5.4394,2021-09-30,28.93,1623150.02433131,1622225.39044269,924.633888618922,-46342.1707319971,46930.9805455071,26.7496583977454,-1340.67899927668,10,5599767.51,18,0.00838565710452233,-68279.0126859494,-13772.3272568409,-2101373.01671117
2021-10-29,2021,10,Claritas Investimentos,46020.2136723037,8155.27444130847,5.643,2021-10-29,23.31,1974269.14081097,1954481.03700575,19788.1038052151,-30974.6724566738,45558.9529726041,461.260699699563,-722.019614965067,9,5301820.32,18,0.00868007795335917,-937.516531601155,-477.613414687568,351119.116479658
2021-11-30,2021,11,Claritas Investimentos,42544.9751064009,7570.41497293562,5.6199,2021-11-30,22.38,1901026.590992,1883224.09768593,17802.4933060709,-15177.3070031935,42146.555306211,398.419800189867,-339.668130731471,9,4971578.86,18,0.00855763859016829,-3475.23856590278,-584.859468372846,-73242.5498189717
2021-12-31,2021,12,Claritas Investimentos,37754.376646602,6765.4111005469,5.5805,2021-12-30,20.95,1802118.21702157,1774340.34346494,27777.8735566362,-7936.48854205001,37172.4301955905,581.946451011528,-166.269434955948,9,4810906.76,18,0.00784766334706557,-4790.59845979891,-805.003872388718,-98908.3739704224
2016-01-29,2016,1,Constellation Asset Management,28456.1484520247,7038.722779268,4.0428,2016-01-29,24.95,1140526.99206512,380933.573119308,759593.418945808,0,9504.29264932674,18951.8558026979,0,9,390125.2,11,0.0729410672574462,,,
2016-02-29,2016,2,Constellation Asset Management,34699.1120417091,8719.24616587324,3.9796,2016-02-29,25.4,1366106.77329564,767249.236696334,598857.536599302,0,19488.1306120869,15210.9814296223,0,9,374090.79,10,0.0927558575866279,6242.96358968449,1680.52338660524,225579.78123052
2016-03-31,2016,3,Constellation Asset Management,40343.8416458853,11336.0424979306,3.5589,2016-03-31,31.21,1292657.53431225,468480.905264663,824176.629047586,0,14621.2890533101,25722.5525925752,0,8,411851.54,9,0.0979572436365912,5644.72960417614,2616.79633205738,-73449.2389833869
2016-04-29,2016,4,Constellation Asset Management,49492.1455772753,14342.2237096544,3.4508,2016-04-29,32.87,1505693.50706648,737662.988545984,768030.518520499,0,24246.9824335065,25245.1631437688,0,7,419607.65,8,0.117948625525,9148.30393139001,3006.18121172375,213035.972754234
2016-05-31,2016,5,Constellation Asset Management,42990.2504412091,11958.0124172371,3.5951,2016-05-31,29.05,1479870.92740823,952479.217221625,527391.710186605,0,27669.5212602882,15320.7291809209,0,9,397742.21,10,0.108085713209089,-6501.89513606621,-2384.21129241727,-25822.5796582531
