data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2017-09-29,2017,9,Vinci Partners,150682.133246339,47563.8046863444,3.168,2017-09-29,43.35,3475943.09680136,3475943.09680136,94335.5793356364,-1345.84496424286,150682.133246339,4089.44736419984,-58.3423791999278,29,5067186.21,46,0.0297368454604985,8327.08548167357,2330.0822864634,-52063.0435868776
2017-10-31,2017,10,Vinci Partners,132546.271193971,40448.6774677199,3.2769,2017-10-31,42.05,3152111.08665805,3152111.08665805,129819.819332166,-894.737274820431,132546.271193971,5458.92340291759,-37.6237024061991,30,5013275.06,46,0.0264390582219463,-18135.8620523678,-7115.12721862452,-323832.010143306
2017-11-30,2017,11,Vinci Partners,127873.035773575,39205.6155793399,3.2616,2017-11-30,41.27,3098450.10355161,3098450.10355161,172190.968380777,-1145.14851723161,127873.035773575,7106.32126507466,-47.2602793061486,31,4845382.24,46,0.0263907013811928,-4673.23542039622,-1243.06188837997,-53660.9831064441
2017-12-29,2017,12,Vinci Partners,125709.884098538,38001.7787480467,3.308,2017-12-28,42.58,2952322.3132583,2952322.3132583,224928.65214071,-618.538953389028,125709.884098538,9577.46200815145,-26.3373886353048,31,5027644.12,46,0.0250037355664184,-2163.15167503663,-1203.83683129323,-146127.790293312
2018-01-31,2018,1,Vinci Partners,134276.45638717,42460.301159616,3.1624,2018-01-31,52.26,2569392.58299215,2569392.58299215,274231.683449554,-631.700253182655,134276.45638717,14331.3477770737,-33.0126552313256,31,5342092.2,46,0.0251355557635583,8566.57228863126,4458.52241156933,-382929.730266151
2018-02-28,2018,2,Vinci Partners,111685.973023529,34418.9260142158,3.2449,2018-02-28,50.38,2216871.23905377,2216871.23905377,282507.504783656,-766.643617757709,111685.973023529,14232.7280910006,-38.6235054626334,30,5422875.96,46,0.0205953397878437,-22590.4833636406,-8041.37514540015,-352521.343938376
2018-03-29,2018,3,Vinci Partners,92832.1956111172,27929.5371596116,3.3238,2018-03-29,51.31,1809241.77764797,1809241.77764797,263092.541942919,-665.687255594569,92832.1956111172,13499.2783270912,-34.1564130845573,25,5225577.94,43,0.0177649623978467,-18853.7774124118,-6489.38885460421,-407629.461405805
2018-04-30,2018,4,Vinci Partners,97245.6099477712,27935.3106626558,3.4811,2018-04-30,51.01,1906402.86115999,1906402.86115999,123954.026918321,-1027.47466817569,97245.6099477712,6322.89491310354,-52.4114828236418,24,5226810.11,43,0.0186051545591296,4413.41433665405,5.77350304419088,97161.0835120261
2018-05-30,2018,5,Vinci Partners,71745.7722977359,19198.7616531271,3.737,2018-05-30,42.98,1669282.74308366,1669282.74308366,9576.09002876594,-775.706538068723,71745.7722977359,411.58034943636,-33.3398670061937,24,4879197.49,43,0.0147044206439235,-25499.8376500354,-8736.54900952876,-237120.118076329
2018-06-29,2018,6,Vinci Partners,61183.8375578383,15868.0008189839,3.8558,2018-06-29,40.34,1516703.95532569,1516703.95532569,21954.3622764639,-595.229679592561,61183.8375578383,885.638974232555,-24.0115652747639,24,4767091.02,44,0.0128346275120709,-10561.9347398976,-3330.76083414312,-152578.787757975
2018-07-31,2018,7,Vinci Partners,67306.5956880273,17925.003512218,3.7549,2018-07-31,45,1495702.12640061,1495702.12640061,22765.1580752963,-95.4839654335562,67306.5956880273,1024.43211338833,-4.29677844451003,23,4897568.8,44,0.0137428586379485,6122.75813018899,2057.00269323403,-21001.8289250825
2018-08-31,2018,8,Vinci Partners,58795.4864212303,14217.9494646653,4.1353,2018-08-31,42.27,1390950.70785972,1390950.70785972,63308.1847886397,-77.110754544705,58795.4864212303,2676.0369710158,-3.25947159460468,24,4568666.38,43,0.012869288656886,-8511.10926679694,-3707.05404755269,-104751.418540887
2018-09-28,2018,9,Vinci Partners,26780.6486332919,6688.64073360771,4.0039,2018-09-28,44.13,606858.115415634,606858.115415634,652842.483525607,-1099.04055710296,26780.6486332919,28809.938797985,-48.5006597849536,27,4505876.86,42,0.00594349323458695,-32014.8377879384,-7529.30873105757,-784092.592444086
2018-10-31,2018,10,Vinci Partners,47033.4622288096,12651.225819407,3.7177,2018-10-31,49.25,954994.156930144,954994.156930144,425903.435674374,-1732.3278723039,47033.4622288096,20975.7442069629,-85.3171477109672,24,4811621.56,41,0.00977497121132892,20252.8135955177,5962.58508579934,348136.04151451
2018-11-30,2018,11,Vinci Partners,63798.7479174796,16514.0548022363,3.8633,2018-11-30,36.02,1771203.44024097,1771203.44024097,293903.662298899,-1047.62743381106,63798.7479174796,10586.4099160063,-37.7355401658745,24,4921110.06,41,0.0129643001557823,16765.2856886701,3862.82898282929,816209.283310823
2018-12-31,2018,12,Vinci Partners,59668.6620797563,15399.1592029928,3.8748,2018-12-28,35.5,1680807.38252835,1680807.38252835,97996.3644714798,-2839.28549785921,59668.6620797563,3478.87093873753,-100.794635174002,26,5060459.3,42,0.0117911554154297,-4130.08583772329,-1114.89559924357,-90396.0577126192
2019-01-31,2019,1,Vinci Partners,47548.8530171715,13020.3053252202,3.6519,2019-01-31,38.78,1226117.92205187,1226117.92205187,53823.1263571752,-3736.44873987483,47548.8530171715,2087.26084013125,-144.899482132346,24,5421715.34,42,0.00877007552690355,-12119.8090625848,-2378.85387777259,-454689.460476477
2019-02-28,2019,2,Vinci Partners,46538.9489052484,12448.5619647582,3.7385,2019-02-28,35.23,1321003.3751135,1321003.3751135,29851.7783508057,-204.709823185021,46538.9489052484,1051.67815129888,-7.21192707080829,24,5254938.33,43,0.00885623122150863,-1009.9041119231,-571.743360461995,94885.4530616249
2019-03-29,2019,3,Vinci Partners,56727.640294421,14557.8669885855,3.8967,2019-03-29,34.43,1647622.43085742,1647622.43085742,190216.350974109,-2092.15781162036,56727.640294421,6549.14896403858,-72.032993454089,27,5467878.35,44,0.0103747078232677,10188.6913891726,2109.30502382729,326619.055743926
2019-04-30,2019,4,Vinci Partners,36091.66115308,9148.01438498467,3.9453,2019-04-30,33.83,1066853.71425007,1066853.71425007,84730.7967365718,-2907.31043028336,36091.66115308,2866.44285359822,-98.354311856486,18,5549289.18,45,0.00650383499262513,-20635.979141341,-5409.8526036008,-580768.716607347
