data,ticker,codbdi,tpmerc,preco_fechamento_brl,negocios,quantidade_negociada,volume_brl,ano,mes
2019-06-06,ITUB4,02,010,34.7,27156,11449900,396911896,2019,6
2019-06-07,ITUB4,02,010,35.07,29606,13355900,468134379,2019,6
2019-06-10,ITUB4,02,010,34.63,40997,18283400,630690932,2019,6
2019-06-11,ITUB4,02,010,34.8,33683,29136500,1005742422,2019,6
2019-06-12,ITUB4,02,010,34.6,31679,17637000,613289849,2019,6
2019-06-13,ITUB4,02,010,33.98,48149,36877200,1257330972,2019,6
2019-06-14,ITUB4,02,010,33.99,27404,18775100,634726307,2019,6
2019-06-17,ITUB4,02,010,33.95,27648,15638100,534218448,2019,6
2019-06-18,ITUB4,02,010,34.83,28662,22791000,788087215,2019,6
2019-06-19,ITUB4,02,010,35.38,33985,23278900,816758904,2019,6
2019-06-21,ITUB4,02,010,36.18,39600,27455000,985861900,2019,6
2019-06-24,ITUB4,02,010,36.1,48322,22715800,822188196,2019,6
2019-06-25,ITUB4,02,010,35.65,34456,23790600,853505363,2019,6
2019-06-26,ITUB4,02,010,36.5,43812,32869700,1188178163,2019,6
2019-06-27,ITUB4,02,010,36.25,47600,20630300,743695777,2019,6
2019-06-28,ITUB4,02,010,36.26,32651,17615100,640661122,2019,6
2019-07-01,ITUB4,02,010,36.08,27571,15922800,579583322,2019,7
2019-07-02,ITUB4,02,010,35.95,39610,18830100,677338421,2019,7
2019-07-03,ITUB4,02,010,36.57,30958,17700300,641662773,2019,7
2019-07-04,ITUB4,02,010,36.99,38903,23138400,860474591,2019,7
2019-07-05,ITUB4,02,010,37.4,24081,14345800,533527477,2019,7
2019-07-08,ITUB4,02,010,37.3,17468,9918400,369273874,2019,7
2019-07-10,ITUB4,02,010,37.2,47775,22765400,851987497,2019,7
2019-07-11,ITUB4,02,010,37.15,27567,15289000,564701364,2019,7
2019-07-12,ITUB4,02,010,36.46,39372,18723300,690281599,2019,7
2019-07-15,ITUB4,02,010,36.36,28850,16642300,606252069,2019,7
2019-07-16,ITUB4,02,010,36.5,31677,17844700,649714736,2019,7
2019-07-17,ITUB4,02,010,36.4,34012,23122700,846497011,2019,7
2019-07-18,ITUB4,02,010,37.37,23945,16209600,598406438,2019,7
2019-07-19,ITUB4,02,010,36.4,28222,17145500,628846910,2019,7
2019-07-22,ITUB4,02,010,37.02,28054,18663100,690267117,2019,7
2019-07-23,ITUB4,02,010,37.38,32978,21128500,784652082,2019,7
2019-07-24,ITUB4,02,010,37.35,25231,14689500,549938371,2019,7
2019-07-25,ITUB4,02,010,36.2,45963,22380700,816025131,2019,7
2019-07-26,ITUB4,02,010,36.85,37498,23826000,873991893,2019,7
2019-07-29,ITUB4,02,010,37,31750,20228700,743810752,2019,7
2019-07-30,ITUB4,02,010,35.77,71266,44206600,1594843148,2019,7
2019-07-31,ITUB4,02,010,34.82,79602,35542000,1246536190,2019,7
2019-08-01,ITUB4,02,010,34.88,58542,32801400,1164785449,2019,8
2019-08-02,ITUB4,02,010,34.93,46183,27808000,968141415,2019,8
2019-08-05,ITUB4,02,010,34.45,45639,21294600,733665747,2019,8
2019-08-06,ITUB4,02,010,35.49,34847,17746200,624844246,2019,8
2019-08-07,ITUB4,02,010,36.8,56349,32065800,1158315264,2019,8
2019-08-08,ITUB4,02,010,37,59247,30196800,1118635391,2019,8
2019-08-09,ITUB4,02,010,36.72,23330,11884800,435825043,2019,8
2019-08-12,ITUB4,02,010,35.2,38717,20246800,717409941,2019,8
2019-08-13,ITUB4,02,010,35.89,27993,13635000,488204714,2019,8
2019-08-14,ITUB4,02,010,35.1,42481,20769200,731252047,2019,8
2019-08-15,ITUB4,02,010,35,36897,19086500,669665932,2019,8
2019-08-16,ITUB4,02,010,34.35,30496,14343000,494131238,2019,8
2019-08-19,ITUB4,02,010,34.2,40762,22628600,777191489,2019,8
2019-08-20,ITUB4,02,010,33.82,35375,17302100,589095257,2019,8
2019-08-21,ITUB4,02,010,34.08,34882,19548800,665953541,2019,8
2019-08-22,ITUB4,02,010,33.54,30811,13552000,457144097,2019,8
2019-08-23,ITUB4,02,010,33.15,51867,26285900,874416334,2019,8
2019-08-26,ITUB4,02,010,33.14,35620,17811500,588858617,2019,8
2019-08-27,ITUB4,02,010,33.53,37942,28587300,958777251,2019,8
2019-08-28,ITUB4,02,010,33.91,33339,14492900,490304285,2019,8
2019-08-29,ITUB4,02,010,34.09,46298,16919500,576418984,2019,8
2019-08-30,ITUB4,02,010,33.94,46739,25311700,861173875,2019,8
2019-09-02,ITUB4,02,010,33.5,24164,8366100,281599605,2019,9
2019-09-03,ITUB4,02,010,32.86,35391,19116300,632220743,2019,9
2019-09-04,ITUB4,02,010,33.09,31422,15409600,508604629,2019,9
2019-09-05,ITUB4,02,010,34.03,44259,42036200,1440766652,2019,9
2019-09-06,ITUB4,02,010,35.17,36714,21399400,746949688,2019,9
2019-09-09,ITUB4,02,010,36.03,53221,34847900,1256136929,2019,9
2019-09-10,ITUB4,02,010,35.33,50871,22274700,793884872,2019,9
2019-09-11,ITUB4,02,010,35.17,27050,16367700,576921511,2019,9
2019-09-12,ITUB4,02,010,35.39,28028,13645700,482922126,2019,9
2019-09-13,ITUB4,02,010,35.87,46339,25083000,903585738,2019,9
2019-09-16,ITUB4,02,010,35.23,46406,20161300,710199915,2019,9
2019-09-17,ITUB4,02,010,35.36,24178,12250100,431516043,2019,9
2019-09-18,ITUB4,02,010,35.25,25956,13316300,468861111,2019,9
2019-09-19,ITUB4,02,010,34.66,29285,17989000,631054220,2019,9
2019-09-20,ITUB4,02,010,34.75,27258,32900200,1145219490,2019,9
2019-09-23,ITUB4,02,010,34.64,21648,13212100,455302528,2019,9
2019-09-24,ITUB4,02,010,34.28,23685,10497600,360461514,2019,9
2019-09-25,ITUB4,02,010,34.68,24314,14271700,493423883,2019,9
2019-09-26,ITUB4,02,010,35.68,31941,18669400,660168766,2019,9
2019-09-27,ITUB4,02,010,35.53,29809,16175900,571702767,2019,9
2019-09-30,ITUB4,02,010,35.03,25169,15985400,562791579,2019,9
2019-10-01,ITUB4,02,010,34.22,27422,17096300,590242470,2019,10
2019-10-02,ITUB4,02,010,33.28,40616,23731200,793155422,2019,10
2019-10-03,ITUB4,02,010,33.29,42549,21920200,727868304,2019,10
