ticker,n_gestoras,rmse_rw,rmse_ar,skill_pct,degenerate_rw
KLBN11,32,7163.11000579015,8387.09548659803,-17.1,FALSE
LIGT3,26,6962.05249515052,8153.42497478236,-17.1,FALSE
WIZS3,21,2126.66051363608,2497.14267073411,-17.4,FALSE
BEEF11,10,585.959672576476,688.133856387127,-17.4,FALSE
OIBR3,19,6352.53436352887,7464.77493131048,-17.5,FALSE
ARZZ3,25,4668.83953078592,5501.6206047545,-17.8,FALSE
EMBR3,32,3345.04742686706,3944.93941859649,-17.9,FALSE
ENAT3,18,1013.87997559804,1195.75304652899,-17.9,FALSE
ALUP11,22,2284.8725242207,2697.08165961984,-18,FALSE
RADL3,28,8671.55274288539,10245.5034959719,-18.2,FALSE
CPLE3,20,6017.64463685741,7147.59714390121,-18.8,FALSE
CARD3,12,224.89644127838,268.367125382902,-19.3,FALSE
JSLG3,20,2409.98738947145,2890.79045918029,-20,FALSE
LEVE3,21,1071.35370413414,1288.02273371696,-20.2,FALSE
COGN3,11,7421.03023958358,8919.35207769213,-20.2,FALSE
LPSB3,17,1206.34102684522,1452.04476045526,-20.4,FALSE
SBSP3,33,15167.0146590009,18276.0689280347,-20.5,FALSE
CYRE3,33,11203.5331988685,13509.7241176785,-20.6,FALSE
ABCB4,19,1286.5391011217,1554.49224452471,-20.8,FALSE
JHSF3,17,1928.25852320875,2332.08802131487,-20.9,FALSE
OFSA3,17,237.901186073985,287.770186175709,-21,FALSE
YDUQ3,22,8686.37765272512,10513.386739753,-21,FALSE
VLID3,19,321.689978710012,389.466359516395,-21.1,FALSE
UGPA3,34,9090.58990152179,11026.5843829209,-21.3,FALSE
LCAM3,27,7891.41296287148,9598.45819467576,-21.6,FALSE
TRPL4,19,1818.98790149458,2214.174576528,-21.7,FALSE
BIDI3,11,2812.98852354053,3433.46146443066,-22.1,FALSE
SAPR4,22,1466.26116976482,1796.09528761442,-22.5,FALSE
CMIG3,25,7577.99522639069,9290.83832474126,-22.6,FALSE
TRIS3,18,2097.1509978323,2582.1182598759,-23.1,FALSE
AMAR3,22,3507.56290164895,4329.76979888664,-23.4,FALSE
RPAD3,15,0.528487503123109,0.65247459712814,-23.5,FALSE
PNVL3,16,1303.47631571718,1609.41587328169,-23.5,FALSE
BPAN4,16,2537.41842697308,3145.39549317766,-24,FALSE
BRPR3,22,2281.83126158335,2835.03003173157,-24.2,FALSE
SHUL4,9,562.332642056204,699.351123163723,-24.4,FALSE
JBSS3,32,12820.4907086174,15979.1853579045,-24.6,FALSE
LAME3,26,4208.17812331465,5261.3836775856,-25,FALSE
STBP3,22,4474.06328867718,5617.16171186956,-25.5,FALSE
KROT3,23,6205.72315096374,7806.8101310406,-25.8,FALSE
BIDI11,23,13313.826020623,16756.8509350895,-25.9,FALSE
MRVE3,32,8364.14023961438,10548.4604280029,-26.1,FALSE
SQIA3,11,2785.08249349289,3514.82284544584,-26.2,FALSE
VIVT3,21,4248.76176722326,5375.43261504389,-26.5,FALSE
AGRO3,11,861.80156666889,1093.06064496549,-26.8,FALSE
GNDI3,32,16476.9921329919,20995.3282345053,-27.4,FALSE
VULC3,21,2011.73514913272,2567.96259269879,-27.6,FALSE
WEGE3,27,6871.34916631983,8795.99462126422,-28,FALSE
APER3,11,185.359664428599,237.882007986992,-28.3,FALSE
ECOR3,31,5839.74833677582,7513.57871659061,-28.7,FALSE
EUCA4,17,88.2213769215024,113.685397263866,-28.9,FALSE
ENEV3,27,11439.6725152916,14855.8944917482,-29.9,FALSE
SULA11,32,9795.14292802526,12847.5071841681,-31.2,FALSE
BMGB4,15,826.504485886474,1089.26081909529,-31.8,FALSE
LOGN3,18,2474.15418297682,3273.40052990774,-32.3,FALSE
ALPA3,14,258.270804863431,343.43906307555,-33,FALSE
USIM3,14,170.36587692617,227.454774172545,-33.5,FALSE
UNIP6,17,627.505626605303,845.12829279656,-34.7,FALSE
TOTS3,27,10139.72576641,13709.6290199379,-35.2,FALSE
SLCE3,23,2305.95070541552,3123.36104846569,-35.4,FALSE
HBOR3,17,1869.35183826135,2533.22390066151,-35.5,FALSE
MOVI3,21,1675.71842926942,2283.31781865524,-36.3,FALSE
ALSO3,20,9714.0224514256,13330.7918339409,-37.2,FALSE
BRIV3,16,4.67597628236214,6.50249268305106,-39.1,FALSE
VIVA3,18,8159.10235892864,11346.5861262061,-39.1,FALSE
LOGG3,19,1248.68272700917,1741.40381118369,-39.5,FALSE
KLBN4,9,168.117984362846,234.776390716293,-39.6,FALSE
NTCO3,31,26759.4640657273,37541.6843850953,-40.3,FALSE
FHER3,5,214.424338804448,301.175495631891,-40.5,FALSE
KEPL3,9,662.427575144881,931.374696903019,-40.6,FALSE
FRAS3,11,76.3298692871977,107.679076423851,-41.1,FALSE
FESA4,16,309.495498450216,440.896566294796,-42.5,FALSE
MDIA3,20,2675.06929472538,3818.31755610509,-42.7,FALSE
CELP3,8,533.023041129914,760.614860773761,-42.7,FALSE
GRND3,27,2307.90678614093,3306.69938538395,-43.3,FALSE
COCE5,18,442.771131322132,636.343544751765,-43.7,FALSE
CSAN3,37,11520.7551380912,16590.2527467464,-44,FALSE
POMO3,7,63.219545819702,91.2332611142639,-44.3,FALSE
KROT11,5,1348.54626262753,1952.40274478251,-44.8,FALSE
CEAB3,14,6451.69921971497,9483.07215282405,-47,FALSE
BKBR3,18,4253.51865928899,6259.32783212857,-47.2,FALSE
CESP3,11,26.0568794275249,38.5503116310657,-47.9,FALSE
GGBR3,20,210.549490099472,316.473426957563,-50.3,FALSE
TASA4,6,94.5289978443036,143.219715506106,-51.5,FALSE
EQPA3,8,797.147395080857,1232.72427311347,-54.6,FALSE
CCPR3,16,4344.76336213754,6753.7385906024,-55.4,FALSE
PRIO3,22,6586.61301087083,10294.9152683934,-56.3,FALSE
NEOE3,23,9057.40507864039,14830.7392327881,-63.7,FALSE
PFRM3,10,31.4153094136955,53.4546094707799,-70.2,FALSE
IDNT3,8,178.469558136533,312.152180550303,-74.9,FALSE
SCAR3,14,6.34960087955631,14.3026983884039,-125.3,FALSE
CGRA4,18,10.7691698875708,29.9926603803332,-178.5,FALSE
RSID3,9,3.6896279301825,16.9040087677359,-358.1,FALSE
TPIS3,7,26.062251576004,123.101428211764,-372.3,FALSE
MAGG3,13,237.249070637299,1193.75088309111,-403.2,FALSE
MYPK11,12,0.53508351081879,4.57734181326376,-755.4,FALSE
CPRE3,8,2.65338974754849,69.7980425659396,-2530.5,FALSE
