ticker,model,RMSE,MAE,RMSE_RW,MAE_RW,skill_rmse_pct,skill_mae_pct
COCE5,N1_painel,469.797966458944,158.603202610079,442.771131322132,123.557869587465,-6.10401926072042,-28.3634973147591
COCE5,AR1_indiv,498.554071714244,139.145687157937,442.771131322132,123.557869587465,-12.5985947244442,-12.615803123279
COGN3,RW,7421.03023958358,1661.58822361432,7421.03023958358,1661.58822361432,0,0
COGN3,AR1_indiv,8408.97125136168,1889.24681778478,7421.03023958358,1661.58822361432,-13.3127204698404,-13.701264304537
COGN3,N1_painel,8428.86991450395,1995.18443225612,7421.03023958358,1661.58822361432,-13.5808592928859,-20.076948301677
COGN3,FATOR1_painel,8431.17628957572,1977.95007791453,7421.03023958358,1661.58822361432,-13.6119381996861,-19.0397265582477
COGN3,AR1_painel,8431.65222624646,1963.19725494601,7421.03023958358,1661.58822361432,-13.6183515500617,-18.1518517671983
CPFE3,RW,9705.98016256328,2476.09337889845,9705.98016256328,2476.09337889845,0,0
CPFE3,AR1_indiv,10053.2883704719,3378.39662867172,9705.98016256328,2476.09337889845,-3.57829093086597,-36.4405986245428
CPFE3,N1_painel,10200.809116783,3342.96923389594,9705.98016256328,2476.09337889845,-5.09818633390895,-35.0098208082579
CPFE3,AR1_painel,10204.764154072,3268.6561863783,9705.98016256328,2476.09337889845,-5.13893479231045,-32.0085992811965
CPFE3,FATOR1_painel,10222.117413888,3325.58967540373,9705.98016256328,2476.09337889845,-5.31772415232725,-34.3079265000577
CPLE3,FATOR1_painel,5982.03716218074,1088.20937285316,6017.64463685741,1041.84403688212,0.591717803649872,-4.45031447411299
CPLE3,AR1_painel,5984.45804078212,1068.26536728797,6017.64463685741,1041.84403688212,0.551488133280975,-2.53601589782357
CPLE3,N1_painel,5985.02298768803,1095.94377662706,6017.64463685741,1041.84403688212,0.542099960000431,-5.1926908279718
CPLE3,AR1_indiv,5996.57898043914,1089.99014896613,6017.64463685741,1041.84403688212,0.350064812555362,-4.62123987656551
CPLE3,RW,6017.64463685741,1041.84403688212,6017.64463685741,1041.84403688212,0,0
